iter	Passed	Remaining
746	1168	395
747	1170	394
748	1173	393
749	1175	391
750	1177	390
751	1179	388
752	1181	387
753	1183	385
754	1184	384
755	1186	382
756	1188	381
757	1189	379
758	1192	378
759	1194	377
760	1196	375
761	1197	374
762	1199	372
763	1200	370
764	1202	369
765	1203	367
766	1205	366
767	1207	364
768	1209	363
769	1211	361
770	1213	360
771	1215	359
772	1217	357
773	1219	356
774	1221	354
775	1223	353
776	1225	351
777	1227	350
778	1228	348
779	1230	347
780	1232	345
781	1234	344
782	1236	342
783	1238	341
784	1240	339
785	1241	338
786	1244	336
787	1246	335
788	1248	333
789	1250	332
790	1252	330
791	1253	329
792	1255	327
793	1258	326
794	1259	324
795	1261	323
796	1263	321
797	1265	320
798	1267	318
799	1269	317
800	1271	315
801	1273	314
802	1274	312
803	1276	311
804	1278	309
805	1281	308
806	1283	307
807	1285	305
808	1287	304
809	1290	302
810	1292	301
811	1293	299
812	1296	298
813	1298	296
814	1300	295
815	1302	293
816	1304	292
817	1306	290
818	1309	289
819	1311	287
820	1313	286
821	1315	284
822	1317	283
823	1318	281
824	1320	280
825	1322	278
826	1324	277
827	1326	275
828	1327	273
829	1329	272
830	1331	270
831	1333	269
832	1335	267
833	1337	266
834	1338	264
835	1340	262
836	1342	261
837	1344	259
838	1346	258
839	1348	256
840	1350	255
841	1352	253
842	1354	252
843	1356	250
844	1358	249
845	1359	247
846	1361	246
847	1363	244
848	1365	242
849	1366	241
850	1368	239
851	1369	237
852	1371	236
853	1373	234
854	1375	233
855	1377	231
856	1378	230
857	1381	228
858	1383	227
859	1385	225
860	1388	224
861	1390	222
862	1392	221
863	1394	219
864	1396	217
865	1398	216
866	1400	214
867	1402	213
868	1404	211
869	1406	210
870	1408	208
871	1410	207
872	1412	205
873	1414	203
874	1416	202
875	1417	200
876	1419	199
877	1421	197
878	1424	196
879	1426	194
880	1428	192
881	1430	191
882	1432	189
883	1433	188
884	1435	186
885	1437	184
886	1440	183
887	1442	181
888	1444	180
889	1445	178
890	1447	177
891	1449	175
892	1451	173
893	1452	172
894	1454	170
895	1456	169
896	1457	167
897	1459	165
898	1461	164
899	1463	162
900	1465	160
901	1466	159
902	1468	157
903	1469	156
904	1471	154
905	1473	152
906	1474	151
907	1476	149
908	1478	147
909	1479	146
910	1481	144
911	1482	143
912	1484	141
913	1486	139
914	1488	138
915	1489	136
916	1491	135
917	1493	133
918	1494	131
919	1496	130
920	1497	128
921	1498	126
922	1500	125
923	1501	123
924	1504	121
925	1505	120
926	1507	118
927	1508	117
928	1510	115
929	1511	113
930	1513	112
931	1515	110
932	1516	108
933	1518	107
934	1519	105
935	1521	104
936	1523	102
937	1524	100
938	1526	99
939	1528	97
940	1530	95
941	1531	94
942	1533	92
943	1535	91
944	1536	89
945	1538	87
946	1539	86
947	1541	84
948	1542	82
949	1544	81
950	1545	79
951	1547	78
952	1549	76
953	1550	74
954	1552	73
955	1553	71
956	1556	69
957	1557	68
958	1559	66
959	1560	65
960	1562	63
961	1564	61
962	1565	60
963	1566	58
964	1569	56
965	1570	55
966	1572	53
967	1574	52
968	1575	50
969	1577	48
970	1578	47
971	1580	45
972	1582	43
973	1584	42
974	1585	40
975	1587	39
976	1589	37
977	1590	35
978	1592	34
979	1594	32
980	1596	30
981	1597	29
982	1599	27
983	1601	26
984	1603	24
985	1605	22
986	1607	21
987	1609	19
988	1611	17
989	1613	16
990	1615	14
991	1617	13
992	1619	11
993	1621	9
994	1623	8
995	1624	6
996	1627	4
997	1628	3
998	1631	1
999	1632	0
